date,rm,rf
2014-06-24,0.0008367051129825054,4.797133808187581e-06
2014-06-25,0.0021725690929803587,4.397591442550919e-06
2014-06-26,0.007718881187436022,4.397591442550919e-06
2014-06-27,0.001277478576965363,3.9980093242686365e-06
2014-06-30,0.0017300585025625814,4.397591442550919e-06
2014-07-01,-0.00013246419817014576,4.397591442550919e-06
2014-07-02,-0.006435310681454642,4.797133808187581e-06
2014-07-03,0.004897511306757085,4.397591442550919e-06
2014-07-07,-0.0011788836944636172,4.797133808187581e-06
2014-07-08,0.0019108685050301943,4.397591442550919e-06
2014-07-09,-0.0003722569631802175,4.397591442550919e-06
2014-07-10,0.006677770533843219,3.9980093242686365e-06
2014-07-11,0.0006588130843330209,4.397591442550919e-06
2014-07-14,0.005479507969835984,4.397591442550919e-06
2014-07-15,-0.003923521854847345,4.397591442550919e-06
2014-07-16,-0.007048801775252689,4.397591442550919e-06
2014-07-17,0.004644267830344662,3.9980093242686365e-06
2014-07-18,-0.004131071699926991,3.9980093242686365e-06
2014-07-21,0.0014709224507656327,4.397591442550919e-06
2014-07-22,0.004843553348319096,4.397591442550919e-06
2014-07-23,-0.0019320960226445472,4.397591442550919e-06
2014-07-24,0.004201084933799892,4.397591442550919e-06
2014-07-25,-0.011834026372541717,4.397591442550919e-06
2014-07-28,0.010264935780914586,4.397591442550919e-06
2014-07-29,-0.0023202505622667013,4.797133808187581e-06
2014-07-30,0.005016149924210289,5.196636428950185e-06
2014-07-31,0.001754438273745107,4.797133808187581e-06
2014-08-01,0.00048815556797321413,5.196636428950185e-06
2014-08-04,-0.004849150442651884,4.797133808187581e-06
2014-08-05,0.0002881547205217938,4.797133808187581e-06
2014-08-06,-0.004527786936270539,4.397591442550919e-06
2014-08-07,6.0912715035721376e-05,4.397591442550919e-06
2014-08-08,-0.019999240169110144,3.9980093242686365e-06
2014-08-11,-0.0028591213797277693,3.9980093242686365e-06
2014-08-12,0.0071890324532961625,3.9980093242686365e-06
2014-08-13,-0.009685469804823432,3.9980093242686365e-06
2014-08-14,1.5638394034844794e-05,3.9980093242686365e-06
2014-08-15,-0.005556620034769533,3.5983874455691733e-06
2014-08-18,0.011531402683691017,3.9980093242686365e-06
2014-08-19,0.0027594251853761964,4.397591442550919e-06
2014-08-20,-0.0016366416413625684,4.797133808187581e-06
2014-08-21,0.006707160180995375,3.9980093242686365e-06
2014-08-22,0.004345814049287355,3.9980093242686365e-06
2014-08-25,-6.137286423035793e-05,4.397591442550919e-06
2014-08-26,0.008531671916274242,4.797133808187581e-06
2014-08-27,0.0050006522411711885,4.397591442550919e-06
2014-08-28,0.0024778129084919165,4.397591442550919e-06
2014-08-29,0.002949889489859636,3.5983874455691733e-06
2014-09-02,-0.0019925872252458676,3.9980093242686365e-06
2014-09-03,0.004787779061101283,4.397591442550919e-06
2014-09-04,0.0010510811012214294,3.9980093242686365e-06
2014-09-05,4.99869996302138e-05,3.9980093242686365e-06
2014-09-08,-0.0016899011101582095,3.9980093242686365e-06
2014-09-09,0.003320414792714388,4.397591442550919e-06
2014-09-10,-0.000544066249729358,4.397591442550919e-06
2014-09-11,-0.000779140768226716,4.397591442550919e-06
2014-09-12,-0.0015344211306421718,4.397591442550919e-06
2014-09-15,0.0050358856051555545,4.397591442550919e-06
2014-09-16,-0.003073114204666716,5.196636428950185e-06
2014-09-17,-0.006545009215276454,4.797133808187581e-06
2014-09-18,0.003646074417693379,4.797133808187581e-06
2014-09-19,0.0008819055324384983,4.397591442550919e-06
2014-09-22,-0.0059625584080529315,3.9980093242686365e-06
2014-09-23,-0.0007101513806340165,3.9980093242686365e-06
2014-09-24,0.007484376004887938,4.397591442550919e-06
2014-09-25,0.001295643791290102,3.9980093242686365e-06
2014-09-26,0.004891180055718092,4.397591442550919e-06
2014-09-29,-0.00047726961218241826,4.397591442550919e-06
2014-09-30,-0.008013323123597371,5.196636428950185e-06
2014-10-01,-0.005776501298565662,3.9980093242686365e-06
2014-10-02,0.007832491334522018,3.9980093242686365e-06
2014-10-03,-0.01616877256054161,4.397591442550919e-06
2014-10-06,0.00857582494608744,4.397591442550919e-06
2014-10-07,-0.0025468023608056223,3.9980093242686365e-06
2014-10-08,-0.0027859287407672184,3.9980093242686365e-06
2014-10-09,-0.013248561055071106,3.9980093242686365e-06
2014-10-10,5.143461907275437e-06,3.9980093242686365e-06
2014-10-14,0.011165509440962174,3.5983874455691733e-06
2014-10-15,-0.0015651597959428498,3.9980093242686365e-06
2014-10-16,-0.015126052674955814,3.9980093242686365e-06
2014-10-17,0.017461650260492734,4.397591442550919e-06
2014-10-20,-0.020661415157819274,3.9980093242686365e-06
2014-10-21,-0.011451012310168207,3.9980093242686365e-06
2014-10-22,-0.01646792974123512,4.397591442550919e-06
2014-10-23,0.001578864811007774,4.397591442550919e-06
2014-10-24,-0.008100314958148669,4.397591442550919e-06
2014-10-27,0.00014497796039192323,4.397591442550919e-06
2014-10-28,0.012884107384289356,4.397591442550919e-06
2014-10-29,0.009142657205247762,4.397591442550919e-06
2014-10-30,0.019574486900937993,4.397591442550919e-06
2014-10-31,-0.007299330229703749,4.397591442550919e-06
2014-11-03,0.012303377173358276,4.797133808187581e-06
2014-11-04,0.007053449513992005,4.397591442550919e-06
2014-11-05,-0.0015015683077649333,4.397591442550919e-06
2014-11-06,0.011939073087332774,4.797133808187581e-06
2014-11-07,-0.0013853554984093464,4.797133808187581e-06
2014-11-10,0.006230123944268584,5.196636428950185e-06
2014-11-12,0.011731393837739246,5.596099312832337e-06
2014-11-13,-0.00011892172848682048,5.9955224680496855e-06
2014-11-14,-0.0028298416763912204,5.9955224680496855e-06
2014-11-17,0.005700497061185805,5.9955224680496855e-06
2014-11-18,0.003775513179122836,5.596099312832337e-06
2014-11-19,0.00034958621394842737,5.9955224680496855e-06
2014-11-20,0.0031201847822315276,5.596099312832337e-06
2014-11-21,0.0006966942357857775,5.596099312832337e-06
2014-11-24,-0.0007011168232956555,5.596099312832337e-06
2014-11-25,0.0005298447197350509,5.596099312832337e-06
2014-11-26,0.0002402700938897162,5.596099312832337e-06
2014-11-28,0.0007353590217320516,5.196636428950185e-06
2014-12-01,0.005133983538707865,5.196636428950185e-06
2014-12-02,-0.0015011589465070418,5.596099312832337e-06
2014-12-03,0.0019670960682991456,5.9955224680496855e-06
2014-12-04,0.0052368773596394025,5.596099312832337e-06
2014-12-05,0.002864023261448967,7.19355363898444e-06
2014-12-08,-0.0011500297675195448,7.19355363898444e-06
2014-12-09,0.00280598197347226,9.189478417770403e-06
2014-12-10,-0.0025424269243935482,8.3912275348208e-06
2014-12-11,-0.0068293629191256144,8.3912275348208e-06
2014-12-12,0.006384461380261053,7.59281795770228e-06
2014-12-15,0.0037647425978213356,8.790372808986646e-06
2014-12-16,-0.0011618960866265349,8.3912275348208e-06
