Unnamed: 0,Period Ending,close,Current Ratio,Quick Ratio,Profit Margin,After Tax ROE,size,non linear size,book to price,EY-CETOP,EY-ETOP,Leverage-MLEV,Leverage-DTOA,Leverage-BLEV,momentum,Liq-STOM,Liq-STOQ,Liq-STOH,GICS Sector,beta,weighted alpha,std_res,half_year_return,three_m_rtn,VaR
746,2015-12-31,29.43,194.0,73.0,7.0,34.0,23.19098533819366,-26.98811661029322,0.10816745502446264,0.036357458375807,0.03635745837576715,1.189284801634762,0.7720642276408242,2.7499237787553947,-0.028754074531782543,-2.0980992566502508,-1.7717021056980442,-1.67663543551422,Consumer Discretionary,1.0178514020146527,-0.07522559025867245,0.019982827501435745,-0.1301393136255521,-0.05164797825348283,-0.03475616124900163
750,2014-12-31,73.389999,163.0,140.0,5.0,24.0,24.189047146600622,-80.91964472293877,-0.24667629895088936,0.05859108950253562,0.058591089502523126,1.9089587261063423,1.2548095545513234,-2.6848239168989108,0.05396633845487595,-1.9142001709905656,-1.6212670775027298,-1.7434406135675622,Health Care,1.010343139056314,0.17240455137027938,0.016331915948574388,0.2331380465068544,0.02261894021827144,-0.02659792526799698
751,2015-12-31,67.629997,167.0,141.0,5.0,28.0,24.05591677061767,-81.95152990354654,-0.2712717280342189,0.0760017777318547,0.07600177773191896,2.080053445410619,1.2320730515514289,-2.9814449269640737,-0.07430324053595863,-1.7551854918521104,-1.5097675564809887,-1.661804148784184,Health Care,0.8647851698890475,-0.08228752082055889,0.01828807415869687,0.1335207363679167,0.1641284414074422,-0.0368296332697062
752,2012-12-31,61.290001,,,17.0,3.0,23.638371760209303,-68.65963316500165,0.5579606087438517,0.01615271632969952,0.016152716329721196,1.4624143351368384,0.4733877129643096,1.8287580303883484,0.03296881146313671,-1.9658342559292814,-2.0405118069768937,-1.9151216331659486,Real Estate,0.3532486526012943,0.036388260020107366,0.008891143996401271,0.09104261558096552,0.12465326929917984,-0.014341276997456296
753,2013-12-31,53.57,,,5.0,1.0,24.05279120402243,-81.94496602118123,0.40875733227588107,0.005226806048161285,0.005226806048162717,1.3814496618935037,0.5055187895212246,1.9331934421082224,-0.09832799047959988,-2.482404695242919,-2.6139996983905793,-2.6216275245058513,Real Estate,1.0296217952110185,-0.1255291422540637,0.011691075687731462,0.16371103229419454,0.11760311741646445,-0.021965408453903518
754,2014-12-31,75.66999799999998,,,15.0,4.0,23.98324055331111,-81.4345037698713,0.5057858052483221,0.019294304725632483,0.019294304725628642,1.413708405532086,0.4722111268780503,1.8179517915275825,0.06867540484610565,-2.0476179011384263,-2.0244948919876893,-2.036401667086891,Real Estate,0.28407998328698136,0.05932104728597135,0.009319092407840656,-0.12475215077975815,0.02854505163327763,-0.014433995934762384
755,2015-12-31,68.029999,,,22.0,6.0,23.925189165589472,-80.4753885997343,0.5936005952254255,0.034543584220837635,0.034543584220882384,1.5275757838147692,0.4972905898580977,1.8887723295062009,0.04126053623261392,-2.045698776550082,-1.9603025036999198,-1.9762801840199342,Real Estate,0.5647634805639687,0.018520024963875517,0.012662361065761112,0.12009404850939352,0.02307803943963009,-0.02567928040344239
756,2013-12-31,36.320001,,,48.0,9.0,23.529915745531074,-61.143907809511795,0.6477626280398422,0.05864537283465384,0.05864537283469792,1.5232231000364491,0.4658612553279136,1.8077389423032089,-0.07982525763970988,-1.9914501220961047,-1.9334480890555694,-1.9760862707398668,Real Estate,0.8055941443188261,-0.11871074663913285,0.013838749969367237,0.13628856995992408,0.07406387444440017,-0.025920829618579028
757,2014-12-31,44.030001,,,59.0,9.0,23.729044981500557,-73.66295606225322,0.5313990427165611,0.04565069167270743,0.04565069167267773,1.4396977969857434,0.4967381942781536,1.827434303866954,0.014777049148018388,-1.945404608555849,-2.045278459071076,-2.137578256463303,Real Estate,0.15015950986052135,0.021879819789846443,0.009547438385916394,-0.16011809772521268,-0.0009083806411929246,-0.015687110101372803
758,2015-12-31,38.240001,,,31.0,6.0,23.59534209106297,-65.87700578536533,0.5286757229941685,-0.03164225858676102,-0.03164225858678931,1.6038116518266592,0.564395861248254,2.142121012114868,0.03774612339651973,-1.7033294846427387,-1.7742419947934018,-1.7566951652573144,Real Estate,0.6811626684230214,0.036297703649287326,0.01221165539059378,-0.07635985698529693,-0.13781377774739734,-0.026606094847053317
